id,category,question_somali,question_english,answer_somali,answer_english,difficulty,verified,source,created_date
1,admissions,SIMAD AI Institute ma ku soo biiri karaa?,How do I apply to SIMAD AI Institute?,Waxaad buuxisaa foom online ah oo ku yaal websaydka rasmiga ah,You fill out an online application form on the official website,easy,yes,manual,9/8/2026
2,admissions,Shuruudaha la iska rabo maxeey yihiin?,What are the admission requirements?,Waxaad u baahan tahay shahaadada dugsiga sare iyo dukumiintiyada aqoonsi,You need a high school certificate and identification documents,easy,yes,manual,9/8/2026
3,admissions,Goormee furmaysaa is-diwaan-gelintu?,When does the application open?,Dalabka wuxuu furmaa bilaha hore ee sanadka,Applications open at the beginning of the year,medium,yes,manual,9/8/2026
4,admissions,Ma la galaa imtixaanka qaabilaada?,Is there an entrance exam?,Haa waxaa jira imtixaan yar oo lagu eego aqoonta,Yes there is a short assessment to evaluate knowledge,medium,yes,manual,9/8/2026
5,admissions,Yaa arki kara barnaamijyada SIMAD?,Who can apply to SIMAD programs?,Dhammaan dhalinyarada Soomaaliyeed ee doonaya barasho AI,All Somali youth who want to study AI,easy,yes,manual,9/8/2026
6,admissions,Xafiiska aqbalista xagee ku yaal?,Where is the admissions office?,Xafiiska wuxuu ku yaal Muqdisho goobta jaamacadda,The office is located at the university campus in Mogadishu,easy,yes,manual,9/8/2026
7,admissions,Ma online ayaa loo dalbadaa oo keliya?,Is the application only online?,Waxaa la dalbadi karaa online iyo xafiiska si toos ah,You can apply online or visit the office directly,easy,yes,manual,9/8/2026
8,admissions,Imisaa waqti qaadanayaa aqbalista?,How long does admission take?,Caadi ahaan 2 toddobaad ayay qaadanaysaa,It usually takes 2 weeks,medium,yes,manual,9/8/2026
9,admissions,Miyaa jirta barnaamij waxbarasho online ah?,Is there an online learning program?,Haa waxaa jira barnaamijyo online ah oo la raaci karo,Yes there are online programs available,easy,yes,manual,9/8/2026
10,admissions,Sidee loo xaqiijiyaa codsiga?,How do I confirm my application?,Waxaad heshaa email xaqiijin ah markii aad buuxiso foomka,You will receive a confirmation email after submitting the form,easy,yes,manual,9/8/2026
11,academic,Maxay yihiin barnaamijyada la barto?,What programs are offered?,Waxaa la barto AI Machine Learning Data Science iyo Robotics,Programs include AI Machine Learning Data Science and Robotics,easy,yes,manual,9/8/2026
