id,category,question_somali,question_english,answer_somali,answer_english,difficulty,verified,source,created_date,answer_length_somali,answer_length_english
1,admissions,Sidee loo dalbadaa SIMAD AI Institute?,How do I apply to SIMAD AI Institute?,Waxaad buuxisaa foom online ah oo ku yaal websaydka rasmiga ah,You fill out an online application form on the official website,easy,no,manual,2026-09-08,11,11
2,admissions,Maxay yihiin shuruudaha aqbalista?,What are the admission requirements?,Waxaad u baahan tahay shahaadada dugsiga sare iyo dukumiintiyada aqoonsi,You need a high school certificate and identification documents,easy,no,manual,2026-09-08,10,9
3,admissions,Goorma la furayaa dalabka?,When does the application open?,Dalabka wuxuu furmaa bilaha hore ee sanadka,Applications open at the beginning of the year,medium,no,manual,2026-09-08,7,8
4,admissions,Ma jiraa imtixaan aqbalidda?,Is there an entrance exam?,Haa waxaa jira imtixaan yar oo lagu eego aqoonta,Yes there is a short assessment to evaluate knowledge,medium,no,manual,2026-09-08,9,9
5,admissions,Yaa arki kara barnaamijyada SIMAD?,Who can apply to SIMAD programs?,Dhammaan dhalinyarada Soomaaliyeed ee doonaya barasho AI,All Somali youth who want to study AI,easy,no,manual,2026-09-08,7,8
6,admissions,Xafiiska aqbalista xagee ku yaal?,Where is the admissions office?,Xafiiska wuxuu ku yaal Muqdisho goobta jaamacadda,The office is located at the university campus in Mogadishu,easy,no,manual,2026-09-08,7,10
7,admissions,Ma online ayaa loo dalbadaa oo keliya?,Is the application only online?,Waxaa la dalbadi karaa online iyo xafiiska si toos ah,You can apply online or visit the office directly,easy,no,manual,2026-09-08,10,9
8,admissions,Imisaa waqti qaadanayaa aqbalista?,How long does admission take?,Caadi ahaan 2 toddobaad ayay qaadanaysaa,It usually takes 2 weeks,medium,no,manual,2026-09-08,6,5
9,admissions,Miyaa jirta barnaamij waxbarasho online ah?,Is there an online learning program?,Haa waxaa jira barnaamijyo online ah oo la raaci karo,Yes there are online programs available,easy,no,manual,2026-09-08,10,6
10,admissions,Sidee loo xaqiijiyaa codsiga?,How do I confirm my application?,Waxaad heshaa email xaqiijin ah markii aad buuxiso foomka,You will receive a confirmation email after submitting the form,easy,no,manual,2026-09-08,9,10
