id,category,question_somali,answer_somali,language,source
1,general,Waa maxay SIMAD AI Institute?,SIMAD AI Institute waa hay'adda ugu horreysa ee tacliinta AI ee Soomaaliya,somali,manual
2,general,Goorma la aasaasay SIMAD AI Institute?,Oktoobar 8 2025 ayaa la aasaasay,somali,manual
3,general,Xafiiskiisu xagee ku yaal?,Muqdisho Soomaaliya,somali,manual
4,courses,Maxay barataa SIMAD AI Institute?,AI iyo teknoolajiyada casriga ah,somali,manual
5,courses,Ma bilaash baa barashada?,Waxaa jira barnaamijyo kala duwan oo qaar bilaash ah,somali,manual
6,admission,Sidee loo dalbadaa?,Online ayaa loo dalbadaa websaydka rasmiga ah,somali,manual
7,admission,Yaa arki kara codsiga?,Dhammaan Soomaaliga dhalinyarada ah,somali,manual
8,research,Maxay samaynayaan cilmi-baarista?,AI barashada luuqadda Soomaaliga iyo xalinta dhibaatooyinka bulshada,somali,manual
9,partnerships,Shirkaduhu kuma shaqeeyaan?,Jaamacadaha caalamiga ah iyo hay'adaha teknoolajiyada,somali,manual
10,general,Yuu hogaamiyo SIMAD AI Institute?,Dr. Yahye Abukar Ahmed ayaa agaasimaha ah,somali,manual
